Date/Time: 2018-04-30-23-27-52
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.48, 3.62, False
0.44, 0.48, 3.62, False
0.70, 0.48, 3.60, False
0.95, 0.48, 3.62, False
1.21, 0.48, 3.62, False
1.46, 0.48, 3.62, False
1.72, 0.48, 3.62, False
1.98, 0.48, 3.62, False
2.23, 0.48, 3.62, False
2.49, 0.48, 3.60, False
2.75, 0.48, 3.62, False
3.01, 0.48, 3.60, False
3.26, 0.48, 3.62, False
3.52, 0.48, 3.60, False
3.78, 0.48, 3.60, False
4.04, 0.48, 3.62, False
4.29, 0.48, 3.62, False
4.55, 0.48, 3.62, False
4.80, 0.48, 3.62, False
5.05, 0.48, 3.62, False
5.31, 0.48, 3.62, False
5.57, 0.48, 3.60, False
5.82, 0.48, 3.62, False
6.08, 0.48, 3.62, False
6.34, 0.48, 3.60, False
6.59, 0.48, 3.60, False
6.84, 0.48, 3.60, False
7.10, 0.48, 3.62, False
7.35, 0.48, 3.62, False
7.61, 0.48, 3.62, False
7.87, 0.48, 3.62, False
8.13, 0.48, 3.62, False
8.38, 0.48, 3.62, False
8.64, 0.48, 3.62, False
8.90, 0.48, 3.62, False
9.15, 0.48, 3.62, False
9.41, 0.48, 3.62, False
9.66, 0.48, 3.60, False
9.92, 0.48, 3.62, False
10.17, 0.48, 3.60, False
10.43, 0.48, 3.60, False
10.68, 0.48, 3.60, False
10.93, 0.48, 3.62, False
11.19, 0.48, 3.60, False
11.45, 0.48, 3.62, False
11.71, 0.48, 3.62, False
11.97, 0.48, 3.62, False
12.22, 0.48, 3.60, False
12.47, 0.48, 3.60, False
12.74, 0.48, 3.60, False
12.99, 0.48, 3.60, False
13.25, 0.48, 3.60, False
13.51, 0.48, 3.60, False
13.76, 0.48, 3.60, False
14.02, 0.48, 3.60, False
14.28, 0.48, 3.62, False
14.54, 0.48, 3.60, False
14.79, 0.48, 3.62, False
15.05, 0.48, 3.60, False
15.30, 0.48, 3.62, False
15.56, 0.48, 3.60, False
15.82, 0.48, 3.60, False
16.08, 0.48, 3.60, False
16.33, 0.48, 3.60, False
16.58, 0.48, 3.60, False
16.84, 0.48, 3.60, False
17.09, 0.48, 3.62, False
17.34, 0.48, 3.62, False
17.59, 0.48, 3.60, False
17.85, 0.48, 3.62, False
18.11, 0.48, 3.62, False
18.36, 0.48, 3.60, False
18.62, 0.48, 3.60, False
18.88, 0.48, 3.62, False
