Date/Time     :  2018-05-09-13-43-14
Scenario      : #1
Device Name   :  Blood Pressure Cuff
seconds,    kPa , mmHg Actual, mmHg Simulated, SIM
  0.25 ,   0.47 ,        3.54,           3.54, False
  0.50 ,   0.47 ,        3.54,           3.54, False
  0.75 ,   0.47 ,        3.54,           3.54, False
  1.00 ,   0.47 ,        3.54,           3.54, False
  1.25 ,   0.47 ,        3.54,           3.54, False
  1.50 ,   0.47 ,        3.54,           3.54, False
  1.75 ,   0.47 ,        3.54,           3.54, False
  2.00 ,   0.47 ,        3.54,           3.54, False
  2.25 ,   0.47 ,        3.54,           3.54, False
  2.50 ,   0.47 ,        3.54,           3.54, False
  2.75 ,   0.47 ,        3.54,           3.54, False
  3.00 ,   0.47 ,        3.54,           3.54, False
  3.25 ,   0.47 ,        3.54,           3.54, False
  3.50 ,   0.47 ,        3.54,           3.54, False
  3.75 ,   0.51 ,        3.80,           3.80, False
  4.03 ,   1.34 ,       10.09,          10.09, False
  4.26 ,   0.72 ,        5.39,           5.39, False
  4.53 ,   0.66 ,        4.99,           4.99, False
  4.76 ,   0.61 ,        4.59,           4.59, False
  5.01 ,   0.60 ,        4.53,           4.53, False
  5.26 ,   0.56 ,        4.20,           4.20, False
  5.52 ,   0.56 ,        4.17,           4.17, False
  5.75 ,   0.54 ,        4.06,           4.06, False
  6.01 ,   0.50 ,        3.77,           3.77, False
  6.27 ,   0.49 ,        3.66,           3.66, False
  6.51 ,   0.48 ,        3.63,           3.63, False
  6.75 ,   0.47 ,        3.55,           3.55, False
  7.00 ,   0.47 ,        3.55,           3.55, False
  7.26 ,   0.47 ,        3.55,           3.55, False
  7.50 ,   0.47 ,        3.54,           3.54, False
  7.75 ,   0.47 ,        3.54,           3.54, False
  8.00 ,   0.47 ,        3.54,           3.54, False
  8.25 ,   0.47 ,        3.54,           3.54, False
  8.50 ,   0.47 ,        3.54,           3.54, False
  8.75 ,   0.47 ,        3.54,           3.54, False
  9.00 ,   0.47 ,        3.54,           3.54, False
  9.25 ,   0.47 ,        3.54,           3.54, False
  9.50 ,   0.47 ,        3.54,           3.54, False
  9.75 ,   0.47 ,        3.54,           3.54, False
 10.00 ,   0.47 ,        3.54,           3.54, False
 10.25 ,   0.47 ,        3.54,           3.54, False
 10.50 ,   0.47 ,        3.54,           3.54, False
 10.75 ,   0.48 ,        3.57,           3.57, False
 11.00 ,   0.47 ,        3.54,           3.54, False
 11.25 ,   0.47 ,        3.54,           3.54, False
 11.50 ,   0.47 ,        3.54,           3.54, False
 11.75 ,   0.47 ,        3.54,           3.54, False
 12.01 ,   0.54 ,        4.07,           4.07, False
 12.25 ,   0.57 ,        4.31,           4.31, False
 12.51 ,   0.53 ,        3.99,           3.99, False
 12.78 ,   0.53 ,        3.96,           3.96, False
 13.00 ,   0.47 ,        3.54,           3.54, False
 13.25 ,   0.47 ,        3.54,           3.54, False
 13.51 ,   0.47 ,        3.54,           3.54, False
 13.76 ,   0.48 ,        3.62,           3.62, False
 14.01 ,   0.66 ,        4.97,           4.97, False
 14.27 ,   0.78 ,        5.87,           5.87, False
 14.52 ,   0.60 ,        4.53,           4.53, False
 14.76 ,   0.57 ,        4.25,           4.25, False
 15.00 ,   0.72 ,        5.38,           5.38, False
 15.26 ,   0.62 ,        4.62,           4.62, False
 15.52 ,   0.61 ,        4.58,           4.58, False
 15.76 ,   0.70 ,        5.25,           5.25, False
 16.02 ,   0.81 ,        6.04,           6.04, False
 16.26 ,   0.71 ,        5.35,           5.35, False
 16.52 ,   0.64 ,        4.83,           4.83, False
 16.76 ,   0.58 ,        4.34,           4.34, False
 17.01 ,   0.58 ,        4.34,           4.34, False
 17.26 ,   0.84 ,        6.29,           6.29, False
 17.50 ,   0.85 ,        6.34,           6.34, False
 17.77 ,   0.84 ,        6.29,           6.29, False
 18.02 ,   1.10 ,        8.26,           8.26, False
 18.26 ,   1.58 ,       11.87,          11.87, False
 18.52 ,   2.39 ,       17.90,          17.90, False
 18.77 ,   2.84 ,       21.33,          21.33, False
 19.01 ,   3.54 ,       26.56,          26.56, False
 19.26 ,   3.62 ,       27.13,          27.13, False
 19.51 ,   4.39 ,       32.96,          32.96, False
 19.76 ,   4.29 ,       32.15,          32.15, False
 20.02 ,   5.55 ,       41.67,          41.67, False
 20.27 ,   5.21 ,       39.07,          39.07, False
 20.52 ,   6.85 ,       51.38,          51.38, False
 20.76 ,   6.54 ,       49.04,          49.04, False
 21.02 ,   7.96 ,       59.75,          59.75, False
