Date/Time: 2018-04-25-15-31-30
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.01, 1.69, 12.67
0.12, 1.68, 12.62
0.23, 1.67, 12.53
0.33, 1.67, 12.50
0.44, 1.66, 12.43
0.55, 1.67, 12.51
0.65, 1.68, 12.62
0.75, 1.69, 12.66
0.86, 1.68, 12.58
0.97, 1.69, 12.66
1.07, 1.70, 12.75
1.18, 1.73, 12.99
1.28, 1.76, 13.19
1.38, 1.77, 13.30
1.49, 1.78, 13.38
1.60, 1.80, 13.51
1.70, 1.81, 13.60
1.80, 1.87, 14.01
1.90, 1.91, 14.34
2.01, 1.93, 14.48
2.12, 1.93, 14.51
2.22, 2.04, 15.32
2.33, 2.04, 15.27
2.43, 2.00, 15.03
2.54, 2.06, 15.46
2.65, 2.05, 15.36
2.75, 2.08, 15.63
2.85, 2.08, 15.62
2.96, 2.12, 15.90
3.06, 2.21, 16.59
3.17, 2.20, 16.51
3.28, 2.20, 16.50
3.39, 2.19, 16.40
3.49, 2.22, 16.66
3.59, 2.27, 17.00
3.69, 2.30, 17.29
3.79, 2.32, 17.38
3.90, 2.31, 17.30
4.01, 2.32, 17.38
4.12, 2.18, 16.39
4.23, 2.01, 15.06
4.33, 1.91, 14.29
4.43, 1.83, 13.74
4.54, 1.83, 13.73
4.64, 1.82, 13.63
4.75, 1.83, 13.73
4.86, 1.81, 13.60
4.97, 1.81, 13.62
5.07, 1.79, 13.46
5.18, 1.79, 13.40
5.29, 1.78, 13.38
5.40, 1.80, 13.52
5.50, 1.80, 13.51
5.61, 1.79, 13.44
5.72, 1.76, 13.19
5.83, 1.76, 13.18
5.94, 1.76, 13.19
6.04, 1.74, 13.05
6.15, 1.73, 12.97
6.26, 1.72, 12.91
6.36, 1.69, 12.70
6.47, 1.69, 12.66
6.58, 1.64, 12.31
6.69, 1.62, 12.18
6.80, 1.62, 12.18
6.90, 1.63, 12.21
7.01, 1.60, 12.01
7.12, 1.60, 11.98
7.23, 1.58, 11.84
7.33, 1.56, 11.73
7.44, 1.54, 11.57
7.55, 1.51, 11.36
7.66, 1.49, 11.14
7.76, 1.48, 11.08
7.87, 1.46, 10.99
7.98, 1.39, 10.42
8.09, 1.24, 9.32
8.19, 1.17, 8.80
8.30, 1.12, 8.37
8.40, 1.12, 8.37
8.50, 1.13, 8.45
8.61, 1.14, 8.58
8.72, 1.15, 8.61
8.83, 1.15, 8.59
8.93, 1.15, 8.64
9.04, 1.16, 8.67
9.15, 1.16, 8.69
9.25, 1.17, 8.78
9.36, 1.18, 8.88
9.47, 1.19, 8.94
9.57, 1.21, 9.05
9.68, 1.21, 9.06
9.79, 1.22, 9.13
9.89, 1.24, 9.32
9.99, 1.33, 9.99
10.10, 1.66, 12.45
10.21, 1.72, 12.91
10.32, 1.72, 12.92
10.42, 2.00, 15.02
10.53, 2.06, 15.43
10.64, 2.03, 15.25
10.74, 2.25, 16.84
10.85, 2.24, 16.83
10.96, 2.22, 16.62
11.07, 2.45, 18.37
11.17, 2.44, 18.28
11.28, 2.39, 17.96
11.38, 2.65, 19.90
11.48, 2.70, 20.25
11.58, 2.67, 20.06
11.69, 2.90, 21.76
11.79, 2.93, 21.99
11.90, 2.97, 22.31
12.00, 3.24, 24.28
12.10, 3.30, 24.73
12.21, 3.31, 24.83
12.32, 3.43, 25.71
12.43, 3.60, 26.99
12.53, 3.57, 26.77
12.63, 3.63, 27.22
12.74, 3.93, 29.48
12.85, 3.92, 29.38
12.96, 3.86, 28.92
13.06, 4.33, 32.47
13.16, 4.34, 32.53
13.27, 4.29, 32.17
13.38, 4.71, 35.32
13.49, 4.87, 36.55
13.60, 4.89, 36.70
13.70, 5.05, 37.90
13.81, 5.47, 41.05
13.92, 5.44, 40.80
14.02, 5.38, 40.33
14.13, 6.00, 45.04
14.24, 6.17, 46.26
14.34, 6.10, 45.78
14.45, 6.44, 48.34
14.56, 7.05, 52.88
14.66, 7.05, 52.93
14.77, 6.99, 52.44
14.88, 7.12, 53.43
14.98, 8.11, 60.86
15.09, 8.13, 60.97
15.20, 8.03, 60.22
15.31, 7.94, 59.56
15.42, 7.88, 59.10
15.52, 7.78, 58.38
15.62, 7.74, 58.08
15.73, 7.70, 57.78
15.84, 7.68, 57.65
15.95, 7.73, 57.98
16.05, 7.95, 59.62
16.16, 9.04, 67.84
16.27, 9.21, 69.12
16.38, 9.05, 67.92
16.48, 9.04, 67.79
16.59, 8.98, 67.38
16.70, 8.92, 66.90
16.81, 8.91, 66.86
16.91, 8.89, 66.69
17.02, 8.88, 66.61
17.13, 8.90, 66.79
17.24, 9.96, 74.69
17.35, 10.54, 79.10
17.45, 10.50, 78.75
17.56, 10.44, 78.30
17.66, 10.43, 78.28
17.76, 10.38, 77.87
17.87, 10.30, 77.26
17.98, 10.27, 77.02
18.08, 10.20, 76.52
18.19, 10.14, 76.06
18.30, 11.13, 83.48
18.41, 11.27, 84.58
18.51, 11.23, 84.24
18.62, 11.16, 83.72
18.73, 11.07, 83.09
18.84, 11.04, 82.82
18.94, 11.00, 82.50
19.04, 10.96, 82.25
19.15, 12.05, 90.38
19.26, 12.26, 92.02
19.37, 12.20, 91.50
19.48, 12.13, 91.01
19.58, 12.04, 90.31
19.69, 12.00, 90.06
19.79, 11.96, 89.70
19.90, 11.89, 89.21
20.01, 11.84, 88.87
20.12, 11.83, 88.79
20.22, 11.81, 88.61
20.33, 12.04, 90.36
20.44, 12.86, 96.50
20.54, 12.87, 96.58
20.65, 12.82, 96.17
20.75, 12.76, 95.75
20.86, 12.72, 95.45
20.96, 12.67, 95.07
21.07, 12.65, 94.93
21.18, 12.64, 94.82
21.28, 12.67, 95.07
21.38, 12.71, 95.35
21.48, 12.69, 95.21
21.58, 12.95, 97.15
21.69, 13.38, 100.38
21.80, 13.29, 99.73
21.91, 13.29, 99.72
22.02, 13.28, 99.62
22.12, 13.26, 99.48
22.23, 13.23, 99.29
22.33, 13.21, 99.12
22.44, 13.19, 98.93
22.54, 13.41, 100.58
22.65, 14.15, 106.14
22.76, 14.11, 105.83
22.87, 14.04, 105.34
22.98, 14.01, 105.13
23.08, 13.99, 104.98
23.19, 13.93, 104.54
23.29, 13.94, 104.61
23.40, 13.95, 104.65
23.50, 13.93, 104.54
23.61, 13.86, 104.02
23.71, 13.85, 103.91
23.82, 13.86, 104.02
23.93, 14.01, 105.09
24.03, 13.97, 104.79
24.14, 13.95, 104.69
24.24, 13.91, 104.33
24.35, 13.83, 103.76
24.46, 13.78, 103.40
24.56, 13.69, 102.71
24.67, 13.61, 102.14
24.78, 13.53, 101.54
24.89, 13.49, 101.18
25.00, 13.50, 101.29
25.11, 13.48, 101.17
25.21, 13.45, 100.88
25.31, 13.40, 100.55
25.41, 13.40, 100.52
25.52, 13.36, 100.27
25.63, 13.32, 99.95
25.73, 13.30, 99.76
25.84, 13.28, 99.67
25.95, 13.25, 99.43
26.05, 13.24, 99.37
26.16, 13.22, 99.20
26.27, 13.22, 99.20
26.37, 13.17, 98.79
26.48, 13.17, 98.79
26.59, 13.15, 98.69
26.70, 13.15, 98.63
26.80, 13.13, 98.49
26.91, 13.10, 98.28
27.01, 13.10, 98.31
27.12, 13.13, 98.49
27.23, 13.10, 98.31
27.33, 13.09, 98.24
27.43, 13.07, 98.09
27.54, 13.06, 98.00
27.65, 13.04, 97.80
27.76, 13.01, 97.62
27.86, 13.01, 97.59
27.96, 13.00, 97.54
28.07, 12.99, 97.46
28.18, 12.95, 97.15
28.29, 12.83, 96.25
28.39, 12.51, 93.83
28.49, 12.33, 92.54
28.60, 12.26, 92.00
28.71, 12.08, 90.61
28.82, 11.53, 86.53
28.93, 11.37, 85.31
29.04, 10.99, 82.42
29.14, 10.88, 81.62
29.25, 10.79, 80.98
29.36, 10.68, 80.12
29.46, 10.57, 79.32
29.56, 10.56, 79.20
29.66, 10.54, 79.10
29.77, 10.52, 78.93
29.87, 10.48, 78.66
29.98, 10.46, 78.46
30.08, 10.44, 78.30
30.19, 10.41, 78.09
30.30, 10.41, 78.09
30.40, 10.44, 78.36
30.51, 10.51, 78.86
30.61, 10.62, 79.68
30.72, 10.57, 79.27
30.83, 10.50, 78.77
30.94, 10.48, 78.63
31.04, 10.48, 78.63
31.14, 10.44, 78.35
31.25, 10.43, 78.28
31.36, 10.43, 78.27
31.47, 10.41, 78.11
31.57, 10.39, 77.95
31.68, 10.38, 77.87
31.78, 10.37, 77.81
31.89, 10.36, 77.76
31.99, 10.35, 77.64
32.10, 10.34, 77.59
32.21, 10.33, 77.53
32.31, 10.32, 77.45
32.42, 10.32, 77.40
32.53, 10.31, 77.38
32.63, 10.30, 77.26
32.74, 10.29, 77.20
32.85, 10.29, 77.16
32.96, 10.26, 76.99
33.07, 10.26, 76.97
33.18, 10.23, 76.79
33.28, 10.22, 76.71
33.40, 10.23, 76.74
33.50, 10.21, 76.58
33.61, 10.20, 76.50
33.71, 10.18, 76.39
33.82, 10.17, 76.28
33.93, 10.16, 76.23
34.03, 10.14, 76.06
34.14, 10.12, 75.95
34.24, 10.10, 75.75
34.34, 10.05, 75.42
34.44, 10.04, 75.35
34.55, 10.03, 75.26
34.66, 9.97, 74.83
34.76, 9.94, 74.57
34.87, 9.92, 74.42
34.98, 9.91, 74.31
35.09, 9.88, 74.12
35.19, 9.88, 74.11
35.30, 9.87, 74.01
35.41, 9.84, 73.84
35.52, 9.83, 73.75
35.62, 9.81, 73.59
35.73, 9.80, 73.51
35.84, 9.76, 73.26
35.94, 9.74, 73.07
36.05, 9.71, 72.86
36.16, 9.67, 72.58
36.27, 9.65, 72.39
36.38, 9.63, 72.22
36.49, 9.63, 72.28
36.59, 9.64, 72.34
36.69, 9.63, 72.28
36.80, 9.62, 72.19
36.90, 9.64, 72.30
37.01, 9.62, 72.17
37.12, 9.60, 72.03
37.22, 9.60, 72.03
37.33, 9.60, 72.01
37.44, 9.59, 71.95
37.54, 9.58, 71.87
37.65, 9.58, 71.89
37.76, 9.58, 71.89
37.86, 9.57, 71.81
37.97, 9.56, 71.71
38.08, 9.55, 71.68
38.18, 9.55, 71.67
38.29, 9.53, 71.53
38.39, 9.53, 71.48
38.50, 9.52, 71.45
38.61, 9.51, 71.35
38.72, 9.50, 71.31
38.82, 9.50, 71.26
38.93, 9.49, 71.16
39.04, 9.48, 71.12
39.15, 9.45, 70.93
39.26, 9.45, 70.88
39.37, 9.44, 70.83
39.47, 9.44, 70.83
39.57, 9.43, 70.72
39.68, 9.42, 70.66
39.79, 9.42, 70.68
39.90, 9.40, 70.52
40.00, 9.38, 70.41
40.10, 9.37, 70.33
40.21, 9.26, 69.45
40.32, 8.93, 67.01
40.43, 8.39, 62.94
40.54, 7.85, 58.88
40.64, 7.21, 54.09
40.75, 7.05, 52.93
40.86, 7.01, 52.61
40.96, 6.99, 52.44
41.06, 6.98, 52.36
41.17, 6.97, 52.30
41.28, 6.96, 52.23
41.38, 6.95, 52.15
41.50, 6.94, 52.09
41.60, 6.93, 52.03
41.71, 6.93, 51.98
41.82, 6.92, 51.93
41.92, 6.92, 51.90
42.03, 6.91, 51.84
42.14, 6.90, 51.79
42.24, 6.90, 51.78
42.35, 6.89, 51.70
42.46, 6.88, 51.65
42.56, 6.88, 51.60
42.67, 6.87, 51.56
42.78, 6.87, 51.52
42.89, 6.86, 51.49
42.99, 6.86, 51.45
43.10, 6.85, 51.41
43.21, 6.85, 51.38
43.31, 6.84, 51.34
43.42, 6.84, 51.29
43.53, 6.83, 51.26
43.63, 6.82, 51.19
43.74, 6.82, 51.16
43.84, 6.82, 51.13
43.95, 6.81, 51.08
44.06, 6.80, 51.05
44.16, 6.80, 51.00
44.27, 6.79, 50.94
44.38, 6.79, 50.91
44.48, 6.78, 50.88
44.59, 6.78, 50.83
44.69, 6.77, 50.78
44.80, 6.76, 50.74
44.91, 6.76, 50.71
45.02, 6.75, 50.64
45.13, 6.74, 50.60
45.23, 6.74, 50.55
45.33, 6.73, 50.50
45.44, 6.72, 50.45
45.55, 6.72, 50.42
45.65, 6.71, 50.34
45.76, 6.70, 50.30
45.87, 6.70, 50.25
45.97, 6.69, 50.20
46.08, 6.68, 50.14
46.18, 6.68, 50.11
46.29, 6.67, 50.03
