Date/Time: 2018-04-25-22-12-52
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.02, 0.47, 3.54, False
0.27, 0.47, 3.54, False
0.52, 0.47, 3.54, False
0.78, 0.47, 3.54, False
1.03, 0.47, 3.54, False
1.29, 0.47, 3.54, False
1.54, 0.47, 3.54, False
1.80, 0.47, 3.54, False
2.06, 0.47, 3.54, False
2.31, 0.47, 3.54, False
2.56, 0.47, 3.54, False
2.82, 0.47, 3.54, False
3.08, 0.47, 3.54, False
3.34, 0.47, 3.54, False
3.59, 0.47, 3.54, False
3.85, 0.47, 3.54, False
4.10, 2.65, 19.88, False
4.36, 1.51, 11.36, False
4.61, 0.51, 3.82, False
4.87, 0.47, 3.54, False
5.12, 0.47, 3.54, False
5.37, 0.69, 5.21, False
5.63, 1.74, 13.05, False
5.88, 3.79, 28.45, False
6.14, 0.58, 4.39, False
6.39, 0.59, 4.43, False
6.64, 2.93, 21.99, False
6.89, 0.89, 6.67, False
7.15, 3.22, 24.14, False
7.40, 2.72, 20.42, False
7.65, 0.47, 3.54, False
7.90, 0.47, 3.54, False
8.16, 0.47, 3.54, False
8.41, 0.47, 3.54, False
8.67, 0.47, 3.54, False
8.92, 0.47, 3.54, False
9.18, 0.47, 3.54, False
9.44, 0.47, 3.54, False
9.69, 0.47, 3.54, False
9.95, 0.47, 3.54, False
10.20, 0.47, 3.54, False
10.46, 0.47, 3.54, False
10.71, 0.47, 3.54, False
10.97, 0.47, 3.54, False
11.22, 0.47, 3.54, False
11.47, 0.47, 3.54, False
11.73, 0.47, 3.54, False
11.98, 0.47, 3.54, False
12.24, 0.47, 3.54, False
12.50, 0.47, 3.54, False
12.75, 0.47, 3.54, False
13.00, 0.47, 3.54, False
13.26, 0.47, 3.54, False
13.52, 0.47, 3.54, False
13.77, 0.47, 3.54, False
14.02, 0.47, 3.54, False
14.27, 0.47, 3.54, False
14.53, 0.47, 3.54, False
14.78, 0.47, 3.54, False
15.04, 0.47, 3.54, False
15.29, 0.47, 3.54, False
15.54, 0.47, 3.54, False
15.79, 0.47, 3.54, False
16.05, 0.47, 3.54, False
16.31, 0.47, 3.54, False
16.56, 0.47, 3.54, False
16.82, 0.47, 3.54, False
17.08, 0.47, 3.54, False
17.33, 0.47, 3.54, False
17.59, 0.47, 3.54, False
17.84, 0.47, 3.54, False
18.09, 0.47, 3.54, False
18.35, 0.47, 3.54, False
18.60, 0.47, 3.54, False
18.86, 0.47, 3.54, False
19.11, 0.47, 3.54, False
19.37, 0.47, 3.54, False
19.63, 0.47, 3.54, False
19.88, 0.47, 3.54, False
20.14, 0.47, 3.54, False
20.39, 0.47, 3.54, False
20.65, 0.47, 3.54, False
20.90, 0.47, 3.54, False
21.15, 0.47, 3.54, False
21.41, 0.47, 3.54, False
21.67, 0.47, 3.54, False
21.92, 0.47, 3.54, False
22.18, 0.47, 3.54, False
22.44, 0.47, 3.54, False
22.69, 0.47, 3.54, False
22.95, 0.47, 3.54, False
23.21, 0.47, 3.54, False
23.46, 0.47, 3.54, False
23.72, 0.47, 3.54, False
23.98, 0.47, 3.54, False
24.23, 0.47, 3.54, False
24.49, 0.47, 3.54, False
24.75, 0.47, 3.54, False
25.01, 0.47, 3.54, False
25.26, 0.47, 3.54, False
25.52, 0.47, 3.54, False
25.78, 0.47, 3.54, False
26.03, 0.47, 3.54, False
26.29, 0.47, 3.54, False
26.55, 0.47, 3.54, False
26.80, 0.47, 3.54, False
27.06, 0.47, 3.54, False
27.32, 0.47, 3.54, False
27.57, 0.47, 3.54, False
27.83, 0.47, 3.54, False
28.09, 0.47, 3.54, False
28.34, 0.47, 3.54, False
28.60, 0.47, 3.54, False
28.86, 0.47, 3.54, False
29.12, 0.47, 3.54, False
29.37, 0.47, 3.54, False
29.63, 0.47, 3.54, False
29.89, 0.47, 3.54, False
30.14, 0.47, 3.54, False
30.40, 0.47, 3.54, False
30.65, 0.47, 3.54, False
30.91, 0.47, 3.54, False
31.16, 0.47, 3.54, False
31.41, 0.47, 3.54, False
31.67, 0.47, 3.54, False
31.93, 0.47, 3.54, False
32.18, 0.47, 3.54, False
32.44, 0.47, 3.54, False
32.69, 0.47, 3.54, False
32.95, 0.47, 3.54, False
33.21, 0.47, 3.54, False
33.46, 0.47, 3.54, False
33.72, 0.47, 3.54, False
33.97, 0.47, 3.54, False
34.23, 0.47, 3.54, False
34.49, 0.47, 3.54, False
34.74, 0.47, 3.54, False
35.00, 0.47, 3.54, False
35.26, 0.47, 3.54, False
35.51, 0.47, 3.54, False
35.77, 0.47, 3.54, False
36.02, 0.47, 3.54, False
36.28, 0.47, 3.54, False
36.54, 0.47, 3.54, False
36.79, 0.47, 3.54, False
37.05, 0.47, 3.54, False
37.31, 0.47, 3.54, False
37.56, 0.47, 3.54, False
37.82, 0.47, 3.54, False
38.07, 0.47, 3.54, False
38.33, 0.47, 3.54, False
38.58, 0.47, 3.54, False
38.84, 0.47, 3.54, False
39.09, 0.47, 3.54, False
39.35, 0.47, 3.54, False
39.61, 0.47, 3.54, False
39.86, 0.47, 3.54, False
40.12, 0.47, 3.54, False
40.37, 0.47, 3.54, False
40.63, 0.47, 3.54, False
40.89, 0.47, 3.54, False
41.14, 0.47, 3.54, False
41.40, 0.47, 3.54, False
41.66, 0.47, 3.54, False
41.91, 0.47, 3.54, False
42.17, 0.47, 3.54, False
42.42, 0.47, 3.54, False
42.68, 0.47, 3.54, False
42.93, 0.47, 3.54, False
43.19, 0.47, 3.54, False
43.44, 0.47, 3.54, False
43.70, 0.47, 3.54, False
43.96, 0.47, 3.54, False
44.21, 0.47, 3.54, False
44.47, 0.47, 3.54, False
44.72, 0.47, 3.54, False
44.98, 0.47, 3.54, False
45.24, 0.47, 3.54, False
45.49, 0.47, 3.54, False
45.75, 0.47, 3.54, False
46.00, 0.47, 3.54, False
46.26, 0.47, 3.54, False
46.51, 0.47, 3.54, False
46.77, 0.47, 3.54, False
47.02, 0.47, 3.54, False
47.28, 0.47, 3.54, False
47.53, 0.47, 3.54, False
47.79, 0.47, 3.54, False
48.05, 0.47, 3.54, False
48.30, 0.47, 3.54, False
48.56, 0.47, 3.54, False
48.81, 0.47, 3.54, False
49.07, 0.47, 3.54, False
49.33, 0.47, 3.54, False
49.59, 0.47, 3.54, False
49.84, 0.47, 3.54, False
50.10, 0.47, 3.54, False
50.35, 0.47, 3.54, False
50.61, 0.47, 3.54, False
50.87, 0.47, 3.54, False
51.12, 0.47, 3.54, False
51.38, 0.47, 3.54, False
51.63, 0.47, 3.54, False
51.89, 0.47, 3.54, False
52.15, 0.47, 3.54, False
52.41, 0.47, 3.54, False
52.66, 0.47, 3.54, False
52.92, 0.47, 3.54, False
53.18, 0.47, 3.54, False
53.43, 0.47, 3.54, False
53.69, 0.47, 3.54, False
53.94, 0.47, 3.54, False
54.20, 0.47, 3.54, False
54.46, 0.47, 3.54, False
54.71, 0.47, 3.54, False
54.97, 0.47, 3.54, False
55.23, 0.47, 3.54, False
55.48, 0.47, 3.54, False
55.74, 0.47, 3.54, False
55.99, 0.47, 3.54, False
56.25, 0.47, 3.54, False
56.50, 0.47, 3.54, False
56.76, 0.47, 3.54, False
57.02, 0.47, 3.54, False
57.28, 0.47, 3.54, False
57.53, 0.47, 3.54, False
57.79, 0.47, 3.54, False
58.05, 0.47, 3.54, False
58.30, 0.47, 3.54, False
