Date/Time     :  2018-05-09-13-44-19
Scenario      : #1
Device Name   :  Blood Pressure Cuff
seconds,    kPa , mmHg Actual, mmHg Simulated, SIM
  0.27 ,   0.57 ,        4.31,           4.31, False
  0.52 ,   0.59 ,        4.40,           4.40, False
  0.76 ,   0.70 ,        5.27,           5.27, False
  1.00 ,   0.80 ,        6.02,           6.02, False
  1.27 ,   1.06 ,        7.98,           7.98, False
  1.51 ,   1.17 ,        8.78,           8.78, False
  1.77 ,   1.31 ,        9.80,           9.80, False
  2.02 ,   1.26 ,        9.43,           9.43, False
  2.27 ,   1.95 ,       14.66,          14.66, False
  2.52 ,   1.75 ,       13.13,          13.13, False
  2.77 ,   2.53 ,       19.00,          19.00, False
  3.01 ,   2.29 ,       17.21,          17.21, False
  3.26 ,   3.37 ,       25.32,          25.32, False
  3.52 ,   3.04 ,       22.81,          22.81, False
  3.76 ,   4.36 ,       32.74,          32.74, False
  4.02 ,   3.95 ,       29.60,          29.60, False
  4.26 ,   5.83 ,       43.73,          43.73, False
  4.52 ,   5.26 ,       39.46,          39.46, False
  4.76 ,   7.86 ,       58.99,          58.99, False
  5.02 ,   7.25 ,       54.39,          54.39, False
  5.26 ,   8.71 ,       65.35,          65.35, False
  5.50 ,   9.28 ,       69.62,          69.62, False
  5.75 ,   8.84 ,       66.30,          66.30, False
  6.01 ,  11.96 ,       89.75,          89.75, True
  6.28 ,  11.11 ,       83.35,          83.35, False
  6.52 ,  14.78 ,      110.85,         110.85, True
  6.75 ,  13.70 ,      102.80,         102.80, True
  7.02 ,  16.87 ,      126.55,         126.55, True
  7.27 ,  16.37 ,      122.79,         122.79, True
  7.52 ,  16.21 ,      121.59,         121.59, True
  7.76 ,  19.64 ,      147.37,         147.37, False
  8.01 ,  18.64 ,      139.85,         139.85, True
  8.27 ,  23.06 ,      173.01,         173.01, False
  8.51 ,  21.84 ,      163.86,         163.86, False
  8.76 ,  23.89 ,      179.25,         179.25, False
  9.02 ,  25.27 ,      189.55,         186.26, False
  9.28 ,  24.15 ,      181.22,         185.55, False
  9.50 ,  25.95 ,      194.72,         183.97, False
  9.77 ,  26.65 ,      199.91,         194.09, False
 10.00 ,  25.76 ,      193.24,         195.05, False
 10.27 ,  24.87 ,      186.62,         192.15, False
 10.50 ,  24.21 ,      181.66,         188.31, False
 10.77 ,  23.48 ,      176.19,         183.20, False
 11.02 ,  22.83 ,      171.27,         178.07, False
 11.27 ,  22.23 ,      166.78,         173.52, False
 11.52 ,  21.68 ,      162.62,         168.92, False
 11.76 ,  21.13 ,      158.54,         164.67, False
 12.01 ,  20.59 ,      154.49,         160.52, False
 12.28 ,  20.05 ,      150.40,         156.29, False
