===================== 
Scenario = 1
Instrument = ophthalmoscope
This is a header line 
===================== 
0.00,Calibrate device for a more accurate feedback.
0.06,IN,1
0.10,IN,1
0.14,IN,1
0.18,IN,1
0.21,IN,1
0.24,IN,1
0.28,IN,1
0.40,IN,1
0.52,IN,1
0.68,IN,1
0.80,IN,1
0.91,IN,1
1.04,IN,1
1.18,IN,1
1.32,IN,1
1.44,IN,1
1.56,IN,1
1.68,IN,1
1.83,IN,1
1.95,IN,1
2.10,IN,1
2.20,IN,1
2.35,IN,1
2.47,OUT,0
2.59,IN,1
2.74,IN,1
2.86,IN,1
2.98,IN,1
3.11,IN,1
3.26,IN,1
3.38,IN,1
3.50,IN,1
3.64,OUT,0
3.76,IN,1
3.88,IN,1
4.03,OUT,0
4.17,IN,1
4.27,IN,1
4.42,IN,1
4.54,OUT,0
4.66,IN,1
4.82,IN,1
4.94,IN,1
5.05,IN,1
5.20,IN,1
5.31,OUT,0
5.46,OUT,0
5.58,IN,1
5.69,IN,1
5.82,IN,1
5.96,IN,1
6.11,OUT,0
6.24,IN,1
6.37,IN,1
6.49,OUT,0
6.64,OUT,0
6.73,IN,1
6.86,IN,1
7.01,OUT,0
7.12,OUT,0
7.25,IN,1
7.40,IN,1
7.52,OUT,0
7.66,IN,1
7.78,IN,1
7.90,IN,1
8.05,OUT,0
8.16,OUT,0
8.28,IN,1
8.43,OUT,0
8.54,IN,1
8.67,IN,1
8.81,IN,1
8.95,IN,1
9.06,IN,1
9.21,IN,1
9.32,OUT,0
9.45,IN,1
9.58,IN,1
9.71,IN,1
9.83,OUT,0
9.97,OUT,0
10.13,IN,1
10.25,IN,1
10.36,OUT,0
10.51,OUT,0
10.63,IN,1
10.77,OUT,0
10.90,IN,1
11.03,OUT,0
11.13,OUT,0
11.27,IN,1
11.39,OUT,0
11.54,OUT,0
11.66,IN,1
11.78,IN,1
11.91,OUT,0
12.04,OUT,0
12.17,IN,1
12.29,OUT,0
12.43,IN,1
12.56,OUT,0
12.68,OUT,0
12.84,IN,1
12.95,IN,1
13.09,IN,1
13.21,OUT,0
13.33,OUT,0
13.48,IN,1
13.59,IN,1
13.74,IN,1
13.85,IN,1
14.00,OUT,0
14.11,OUT,0
14.26,OUT,0
14.38,IN,1
14.50,IN,1
14.63,IN,1
14.78,IN,1
14.89,IN,1
15.01,IN,1
15.14,IN,1
15.29,OUT,0
15.40,IN,1
15.55,IN,1
15.66,IN,1
15.82,IN,1
15.93,IN,1
16.05,IN,1
16.18,IN,1
16.32,IN,1
16.45,OUT,0
16.57,OUT,0
16.70,OUT,0
16.83,IN,1
16.98,IN,1
17.09,OUT,0
17.23,OUT,0
17.36,OUT,0
17.49,OUT,0
17.63,IN,1
17.74,IN,1
17.86,IN,1
18.02,IN,1
18.12,IN,1
18.26,OUT,0
18.37,IN,1
18.53,IN,1
18.65,IN,1
18.78,IN,1
18.92,OUT,0
19.03,OUT,0
19.16,OUT,0
19.31,OUT,0
19.42,IN,1
19.55,OUT,0
19.67,OUT,0
19.81,OUT,0
19.93,OUT,0
20.06,IN,1
20.21,OUT,0
20.34,IN,1
20.46,OUT,0
20.58,IN,1
20.72,OUT,0
20.84,IN,1
20.99,OUT,0
21.13,OUT,0
21.23,IN,1
21.36,IN,1
21.48,IN,1
21.63,OUT,0
21.75,IN,1
21.88,OUT,0
22.00,IN,1
22.13,IN,1
22.27,IN,1
22.40,IN,1
22.52,IN,1
22.67,IN,1
22.80,IN,1
22.91,IN,1
23.06,IN,1
23.18,IN,1
23.31,IN,1
23.44,IN,1
23.57,IN,1
23.70,IN,1
23.83,IN,1
23.96,IN,1
24.09,IN,1
24.23,IN,1
24.36,IN,1
24.48,IN,1
24.60,IN,1
24.74,IN,1
24.87,IN,1
25.00,IN,1
25.11,IN,1
25.25,IN,1
25.37,OUT,0
25.52,IN,1
25.64,OUT,0
25.78,IN,1
25.89,IN,1
26.02,IN,1
26.16,IN,1
26.29,IN,1
26.44,IN,1
26.55,IN,1
26.69,IN,1
26.81,IN,1
26.93,IN,1
27.07,IN,1
27.19,IN,1
27.31,IN,1
27.46,IN,1
27.57,IN,1
27.69,IN,1
27.85,IN,1
27.98,IN,1
28.10,IN,1
28.23,IN,1
28.37,IN,1
28.49,IN,1
28.62,IN,1
28.73,IN,1
28.88,IN,1
29.01,IN,1
29.14,IN,1
29.27,IN,1
29.40,IN,1
29.52,IN,1
29.65,IN,1
29.77,IN,1
29.90,IN,1
