Date/Time: 2018-04-30-23-30-34
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.48, 3.60, False
0.45, 0.48, 3.62, False
0.70, 0.48, 3.60, False
0.95, 0.48, 3.60, False
1.21, 0.48, 3.60, False
1.46, 0.48, 3.60, False
1.71, 0.48, 3.60, False
1.97, 0.48, 3.60, False
2.22, 0.48, 3.60, False
2.47, 0.48, 3.62, False
2.72, 0.48, 3.60, False
2.98, 0.48, 3.60, False
3.24, 0.48, 3.58, False
3.49, 0.48, 3.60, False
3.75, 0.48, 3.60, False
4.00, 0.48, 3.62, False
4.25, 0.48, 3.62, False
4.51, 0.48, 3.62, False
4.76, 0.48, 3.60, False
5.02, 0.48, 3.62, False
5.27, 0.48, 3.60, False
5.53, 0.48, 3.62, False
5.78, 0.48, 3.60, False
6.04, 0.48, 3.60, False
6.29, 0.48, 3.60, False
6.55, 0.48, 3.60, False
6.81, 0.48, 3.62, False
7.06, 0.48, 3.60, False
7.32, 0.48, 3.62, False
7.58, 0.48, 3.60, False
7.83, 0.48, 3.60, False
8.09, 0.48, 3.62, False
8.34, 0.48, 3.62, False
8.59, 0.48, 3.60, False
8.84, 0.48, 3.60, False
9.09, 0.48, 3.60, False
9.34, 0.48, 3.60, False
9.59, 0.48, 3.60, False
9.85, 0.48, 3.60, False
10.11, 0.48, 3.60, False
10.37, 0.48, 3.60, False
10.63, 0.48, 3.60, False
10.89, 0.48, 3.62, False
11.14, 0.48, 3.62, False
11.40, 0.48, 3.60, False
11.65, 0.48, 3.58, False
11.91, 0.48, 3.60, False
12.17, 0.48, 3.58, False
12.42, 0.48, 3.60, False
12.68, 0.48, 3.60, False
12.93, 0.48, 3.60, False
13.18, 0.48, 3.60, False
13.44, 0.48, 3.62, False
13.70, 0.48, 3.62, False
13.95, 0.48, 3.60, False
14.21, 0.48, 3.62, False
14.46, 0.48, 3.60, False
14.71, 0.48, 3.60, False
14.97, 0.48, 3.62, False
15.22, 0.48, 3.60, False
15.47, 0.48, 3.62, False
15.72, 0.48, 3.58, False
15.98, 0.48, 3.60, False
16.23, 0.48, 3.60, False
16.49, 0.48, 3.60, False
16.75, 0.48, 3.60, False
17.01, 0.48, 3.62, False
17.26, 0.48, 3.60, False
17.51, 0.48, 3.60, False
17.77, 0.48, 3.60, False
18.02, 0.48, 3.60, False
18.28, 0.48, 3.60, False
18.53, 0.48, 3.60, False
18.78, 0.48, 3.60, False
19.03, 0.48, 3.60, False
19.29, 0.48, 3.58, False
19.55, 0.48, 3.58, False
19.80, 0.48, 3.60, False
20.06, 0.48, 3.60, False
20.31, 0.48, 3.60, False
20.56, 0.48, 3.60, False
20.82, 0.48, 3.60, False
21.08, 0.48, 3.60, False
21.33, 0.48, 3.60, False
21.59, 0.48, 3.60, False
21.84, 0.48, 3.60, False
22.09, 0.48, 3.62, False
22.35, 0.48, 3.60, False
22.60, 0.48, 3.62, False
22.85, 0.48, 3.60, False
23.11, 0.48, 3.60, False
23.37, 0.48, 3.62, False
23.62, 0.48, 3.60, False
23.88, 0.48, 3.60, False
24.14, 0.48, 3.63, False
24.39, 0.48, 3.62, False
24.65, 0.48, 3.62, False
24.90, 0.48, 3.60, False
25.16, 0.48, 3.62, False
25.41, 0.48, 3.62, False
25.66, 0.48, 3.60, False
25.91, 0.48, 3.60, False
26.17, 0.48, 3.60, False
26.42, 0.48, 3.60, False
26.67, 0.48, 3.62, False
26.93, 0.48, 3.62, False
27.19, 0.48, 3.62, False
27.45, 0.48, 3.62, False
27.71, 0.48, 3.60, False
27.97, 0.48, 3.60, False
28.22, 0.48, 3.60, False
28.48, 0.48, 3.60, False
28.73, 0.48, 3.62, False
28.98, 0.48, 3.62, False
29.24, 0.48, 3.60, False
29.49, 0.48, 3.60, False
29.74, 0.48, 3.60, False
29.99, 0.48, 3.60, False
30.25, 0.48, 3.60, False
30.50, 0.48, 3.60, False
30.76, 0.48, 3.60, False
31.01, 0.48, 3.60, False
31.26, 0.48, 3.60, False
31.51, 0.48, 3.60, False
31.77, 0.48, 3.60, False
32.03, 0.48, 3.62, False
32.28, 0.48, 3.62, False
32.53, 0.48, 3.62, False
32.79, 0.48, 3.62, False
33.05, 0.48, 3.62, False
33.30, 0.48, 3.60, False
33.55, 0.48, 3.62, False
33.80, 0.48, 3.62, False
34.06, 0.48, 3.60, False
34.32, 0.48, 3.62, False
34.58, 0.48, 3.60, False
34.84, 0.48, 3.60, False
35.10, 0.48, 3.60, False
35.35, 0.48, 3.58, False
35.60, 0.48, 3.60, False
35.86, 0.48, 3.60, False
36.11, 0.48, 3.60, False
36.37, 0.48, 3.60, False
36.62, 0.48, 3.62, False
36.88, 0.48, 3.60, False
37.14, 0.48, 3.60, False
37.39, 0.48, 3.60, False
37.65, 0.48, 3.60, False
37.91, 0.48, 3.60, False
38.16, 0.48, 3.60, False
38.41, 0.49, 3.69, False
38.66, 0.48, 3.60, False
38.92, 0.48, 3.60, False
39.17, 0.48, 3.60, False
39.43, 0.48, 3.62, False
39.69, 0.48, 3.60, False
39.94, 0.48, 3.60, False
40.20, 0.48, 3.60, False
40.46, 0.48, 3.62, False
40.71, 0.48, 3.62, False
40.96, 0.48, 3.62, False
41.22, 0.48, 3.62, False
41.47, 0.48, 3.60, False
41.73, 0.48, 3.62, False
41.98, 0.48, 3.60, False
42.24, 0.48, 3.60, False
42.50, 0.48, 3.62, False
42.76, 0.48, 3.62, False
43.01, 0.48, 3.62, False
43.26, 0.48, 3.62, False
43.52, 0.48, 3.60, False
43.78, 0.48, 3.60, False
44.04, 0.48, 3.60, False
